time,region,policy_name,policy_category,policy_tags,policy_summary,link,adcode
2025/1/20,海南省,《加快建立海南自贸港特色产品碳足迹管理体系工作方案》,政策制度,碳足迹管理,旨在加快建立海南自贸港特色产品碳足迹管理体系，目标到 2027 年完成 50 个产品碳足迹核算工作和10 个重点行业产品碳标识认证示范，到 2030 年完成 100 个产品碳足迹核算工作。提出6大重点任务，包括推动重点行业产品碳足迹核算、实施碳标识认证工作等。,https://plan.hainan.gov.cn/sfgw/0400/202501/75ee6416ed9e4fdb9ab3b0973c1a77a0.shtml?ddtab=true,460000
2025/1/20,山东省,《山东省碳普惠试点工作指导意见》,政策制度,碳普惠,旨在保障山东省碳普惠体系规范、有序运行；包括方法学管理、项目论证及减排量核算、减排量交易和消纳等六部分共32条意见。规定了碳普惠方法学分类及方法学开发流程、明确了“减排项目”和“减排场景”申请主体、以及核证减排量的交易流程等，自2025年3月15日起施行。,http://xxgk.sdein.gov.cn/zfwj/lhf/202501/t20250122_4785307.html,370000
2025/1/24,江苏省,《关于构建转型金融支持体系 助力江苏全面绿色低碳转型的通知》,政策制度,绿色金融,旨在加大对传统行业领域绿色低碳转型的金融支持；包括总体目标、首批转型金融支持经济活动目录、转型融资主体认定评价标准、转型融资主体金融支持的具体措施。转型金融支持经济活动目录覆盖石化、钢铁、航运等八大行业，为金融机构高效精准识别、支持和评估低碳转型活动提供支撑。,http://nanjing.pbc.gov.cn/nanjing/117542/117557/5499324/5579693/index.html,320000
2025/1/27,北京市,《推进美丽北京建设 持续深入打好污染防治攻坚战2025年行动计划》,政策制度,美丽中国,旨在进一步推进北京市生态环境改善；包括蓝天保卫战、碧水保卫战、净土保卫战、应对气候变化行动、生态保护行动五个部分、108项措施。其中蓝天保卫战方面提出要全力巩固空气质量改善成效，基本消除重污染天气；应对气候变化行动方面提出碳排放总量较峰值下降10%以上等目标。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202501/t20250127_4001762.html,110000
2025/2/5,内蒙古自治区,《2025年内蒙古自治区国民经济和社会发展计划》,政策制度,绿色金融,明确了内蒙古2025年经济社会发展的主要预期目标，确保完成国家下达的“十四五”能耗强度下降目标；部署了10个方面34项重点任务，推动经济发展全面绿色转型任务中提出推动建立地区碳考核、项目碳评价、行业碳管控、企业碳管理、产品碳足迹政策制度和管理机制，持续推进减污降碳协同创新试点建设等。,https://www.nmg.gov.cn/zwgk/zfxxgk/zfxxgkml/zzqzfjbgtwj/202502/t20250210_2664038.html,150000
2025/2/8,甘肃省,《甘肃省打造全国重要的新能源及新能源装备制造基地行动方案》,政策制度,新能源,明确甘肃省到2025年底，新能源装机达到8000万千瓦，装机占比达到65%左右，新型储能装机超过600万千瓦；到2030年底，全省新能源及新能源装备制造产值超过2000亿元等目标。共7部分，包括有序发展先进节能煤电、推动绿氢产业规模化发展、促进用能结构绿色转型等26项具体措施。,https://www.gansu.gov.cn/gsszf/c100055/202502/174075036.shtml,620000
2025/2/10,陕西省,《中共陕西省委陕西省人民政府关于全面推进美丽陕西建设的实施意见》,政策制度,"美丽中国,产业领域",目标到2027年美丽陕西建设成效显著，到2035年美丽陕西建设目标基本实现；共9部分27项具体措施，加快发展方式绿色低碳转型部分提出深化煤电、建材、化工等重点行业领域节能降碳、加强甲烷等非二氧化碳温室气体排放管控等具体措施，以及到2027年新增汽车中新能源汽车占比达60%以上等具体目标。,https://www.shaanxi.gov.cn/zfxxgk/fdzdgknr/zcwj/nszfwj/qt/202502/t20250210_3430123.html,610000
2025/2/12,山西省,《山西省加快经济社会发展全面绿色转型行动方案》,政策制度,绿色低碳转型,目标至2030年山西省能源、工业、交通、城乡建设等重点领域绿色转型取得积极进展，非化石能源占能源消费总量比重达到18%等；至2035年绿色低碳循环发展经济体系基本建立等。明确要优化集中式风电、光伏发电项目布局、优化重点行业产能规模和布局等。,https://sthjt.shanxi.gov.cn/xwzx_1/zfyw/sxyw/202502/t20250221_9773729.shtml,140000
2025/2/14,广东省,《广东省适应气候变化行动方案（2025-2035年）》,政策制度,绿色低碳转型,旨在强化广东省适应气候变化行动举措；目标到2035年，基本健成气候适应型社会。重点任务为加强气候变化监测预警和风险管理，提升自然生态系统适应气候变化能力、提升经济社会系统适应气候变化能力、以及提升关键脆弱区域适应气候变化能力四方面，并提出14项措施：包括全面提升城市安全韧性水平、提升敏感二三产业气候韧性等。,https://gdee.gd.gov.cn/ydqhbh/xxgg/content/post_4669610.html,440000
2025/2/15,福建省,《福建省绿色制造梯度培育管理实施细则（暂行）》,政策制度,"产业领域,绿色工厂",旨在加快构建福建省绿色制造和服务体系；包括总则、培育要求、创建程序、动态管理、配套机制、附则共六章20条；以绿色工厂培育为基础，以绿色工业园区、绿色供应链管理企业培育为支撑，纵向、横向分别形成绿色工厂培育机制，推动行业、区域绿色低碳转型升级。,https://gxt.fujian.gov.cn/zwgk/zfxxgk/fdzdgknr/gfxwj/202502/t20250217_6765161.htm,350000
